route,lat sensor,lon sensor
r1,20.54026917,-100.8125757
r1,20.54028467,-100.812502
r1,20.54029433,-100.8124257
r1,20.54031283,-100.8123547
r1,20.54032233,-100.8122852
r1,20.540325,-100.812215
r1,20.540331,-100.8121632
r1,20.54033483,-100.8121308
r1,20.54033617,-100.8121127
r1,20.54034167,-100.8120882
r1,20.5403455,-100.8120573
r1,20.540356,-100.812018
r1,20.54036217,-100.8119692
r1,20.54037217,-100.8119087
r1,20.54039217,-100.8118568
r1,20.54042167,-100.8118013
r1,20.5404455,-100.8117277
r1,20.54047467,-100.8116413
r1,20.54049633,-100.8115605
r1,20.54052017,-100.8114738
r1,20.5405415,-100.8113805
r1,20.54055183,-100.81129
r1,20.5405635,-100.8111972
r1,20.54056783,-100.811106
r1,20.54056367,-100.8110193
r1,20.5405635,-100.8109427
r1,20.5405565,-100.8108775
r1,20.54055533,-100.8108375
r1,20.54054283,-100.8108173
r1,20.54054117,-100.8107983
r1,20.540534,-100.8107703
r1,20.54054717,-100.8107363
r1,20.54056183,-100.8106978
r1,20.540578,-100.810654
r1,20.54059633,-100.810606
r1,20.54061267,-100.8105758
r1,20.54063167,-100.8105312
r1,20.54063867,-100.8104867
r1,20.54064717,-100.8104575
r1,20.5406585,-100.8104285
r1,20.54065283,-100.81041
r1,20.54065217,-100.810386
r1,20.54066067,-100.8103698
r1,20.54067183,-100.810341
r1,20.54068567,-100.8102908
r1,20.54070417,-100.8102305
r1,20.54070918,-100.8101765
r1,20.54071717,-100.8101138
r1,20.54073259,-100.8100453
r1,20.54073267,-100.8099835
r1,20.54073817,-100.8099175
r1,20.54074433,-100.809876
r1,20.5407475,-100.8098433
r1,20.54074383,-100.809818
r1,20.54074033,-100.8097932
r1,20.54073467,-100.8097675
r1,20.54073433,-100.8097345
r1,20.54073033,-100.8096945
r1,20.54072883,-100.80966
r1,20.54072867,-100.8096218
r1,20.54072283,-100.8095867
r1,20.5407205,-100.8095658
r1,20.54070217,-100.809562
r1,20.540679,-100.809563
r1,20.54064483,-100.8095685
r1,20.54061183,-100.8095692
r1,20.54057017,-100.8095733
r1,20.54052783,-100.809581
r1,20.54048333,-100.8095902
r1,20.54044,-100.809596
r1,20.54039183,-100.8095953
r1,20.5403485,-100.8095977
r1,20.54030333,-100.8096018
r1,20.540264,-100.809604
r1,20.5402285,-100.8096108
r1,20.540191,-100.8096135
r1,20.54017033,-100.809602
r1,20.54015733,-100.8096032
r1,20.54015533,-100.8096025
r1,20.54015383,-100.8096137
r1,20.54014483,-100.809614
r1,20.54012833,-100.8096087
r1,20.540101,-100.8096078
r1,20.54007583,-100.8096215
r1,20.54003917,-100.8096187
r1,20.5400025,-100.8096118
r1,20.5399445,-100.8096078
r1,20.539891,-100.8096037
r1,20.53983033,-100.8096027
r1,20.5397705,-100.8096035
r1,20.53972133,-100.8095872
r1,20.53966217,-100.8095773
r1,20.53960133,-100.8095783
r1,20.5395415,-100.8095793
r1,20.5394715,-100.8095787
r1,20.53940517,-100.8095713
r1,20.53934233,-100.809563
r1,20.53927883,-100.8095673
r1,20.539217,-100.8095632
r1,20.53915883,-100.8095667
r1,20.53909917,-100.8095645
r1,20.53904067,-100.8095603
r1,20.5389805,-100.8095598
r1,20.53892083,-100.8095557
r1,20.53886167,-100.8095528
r1,20.538802,-100.809549
r1,20.53874167,-100.8095482
r1,20.53867867,-100.809548
r1,20.53862083,-100.8095502
r1,20.538565,-100.8095545
r1,20.53852633,-100.8095552
r1,20.53850467,-100.809555
r1,20.5384775,-100.8095477
r1,20.53844717,-100.8095497
r1,20.5384075,-100.8095503
r1,20.538364,-100.8095518
r1,20.538325,-100.8095558
r1,20.5382815,-100.809558
r1,20.5382395,-100.809559
r1,20.538194,-100.809555
r1,20.53815033,-100.8095595
r1,20.53810133,-100.8095662
r1,20.53805583,-100.8095657
r1,20.53802117,-100.8095665
r1,20.53800383,-100.8095605
r1,20.53798133,-100.8095552
r1,20.53795733,-100.809543
r1,20.53792717,-100.8095455
r1,20.53789883,-100.8095395
r1,20.537864,-100.8095473
r1,20.5378305,-100.8095462
r1,20.53780767,-100.8095502
r1,20.53778233,-100.809558
r1,20.537762,-100.8095585
r1,20.537738,-100.809558
r1,20.53771233,-100.8095588
r1,20.53767983,-100.8095555
r1,20.537633,-100.8095683
r1,20.5375835,-100.8095823
r1,20.53752167,-100.8095948
r1,20.5374615,-100.8096022
r1,20.5373935,-100.809612
r1,20.53732067,-100.8096355
r1,20.5372535,-100.8096522
r1,20.53718617,-100.8096633
r1,20.53712117,-100.809669
r1,20.53706067,-100.8096665
r1,20.53700333,-100.8096713
r1,20.53695733,-100.8096765
r1,20.5369165,-100.8096828
r1,20.536886,-100.8096743
r1,20.5368575,-100.8096678
r1,20.5368255,-100.8096807
r1,20.5368065,-100.8097003
r1,20.536795,-100.8097488
r1,20.5367925,-100.8097945
r1,20.53678217,-100.8098692
r1,20.53678583,-100.8099413
r1,20.536784,-100.8100082
r1,20.53676733,-100.8101
r1,20.53674133,-100.8101963
r1,20.53672233,-100.810307
r1,20.53669783,-100.8104102
r1,20.53667983,-100.810523
r1,20.5366585,-100.810636
r1,20.536631,-100.8107688
r1,20.536601,-100.8109055
r1,20.53656067,-100.8110233
r1,20.53652317,-100.8111182
r1,20.53646417,-100.811218
r1,20.53644667,-100.8113288
r1,20.536417,-100.8114518
r1,20.53639883,-100.8115755
r1,20.53637917,-100.8116925
r1,20.53639917,-100.8118228
r1,20.53640117,-100.8119532
r1,20.53641383,-100.812067
r1,20.5364245,-100.812197
r1,20.53640567,-100.812343
r1,20.53639583,-100.8124985
r1,20.53638283,-100.8126365
r1,20.53637417,-100.812764
r1,20.536373,-100.812864
r1,20.53636683,-100.8129423
r1,20.53635567,-100.8130285
